0.0,0.96
0.01,0.95
0.02,0.94
0.03,0.93
0.04,0.92
0.05,0.91
0.06,0.89
0.07,0.88
0.08,0.87
0.09,0.86
0.1,0.85
0.11,0.84
0.12,0.83
0.13,0.82
0.14,0.81
0.15,0.79
0.16,0.78
0.17,0.77
0.18,0.76
0.19,0.75
0.2,0.74
0.21,0.73
0.22,0.72
0.23,0.71
0.24,0.7
0.25,0.69
0.26,0.68
0.27,0.66
0.28,0.65
0.29,0.64
0.3,0.63
0.31,0.62
0.32,0.61
0.33,0.6
0.34,0.59
0.35,0.58
0.36,0.57
0.37,0.56
0.38,0.55
0.39,0.54
0.4,0.53
0.41,0.52
0.42,0.51
0.43,0.5
0.44,0.49
0.45,0.48
0.46,0.47
0.47,0.46
0.48,0.45
0.49,0.44
0.5,0.43
0.51,0.42
0.52,0.41
0.53,0.4
0.54,0.39
0.55,0.38
0.56,0.37
0.57,0.36
0.58,0.35
0.59,0.34
0.6,0.33
0.61,0.32
0.62,0.31
0.63,0.3
0.64,0.29
0.65,0.28
0.66,0.27
0.67,0.26
0.68,0.25
0.69,0.24
0.7,0.23
0.71,0.22
0.72,0.21
0.73,0.2
0.74,0.19
0.75,0.18
0.76,0.18
0.77,0.17
0.78,0.16
0.79,0.15
0.8,0.14
0.81,0.13
0.82,0.12
0.83,0.11
0.84,0.1
0.85,0.09
0.86,0.08
0.87,0.07
0.88,0.07
0.89,0.06
0.9,0.05
0.91,0.04
0.92,0.03
0.93,0.02
0.94,0.01
0.95,0.0
0.96,-0.01
0.97,-0.01
0.98,-0.02
0.99,-0.03
1.0,-0.04
1.01,-0.05
1.02,-0.06
1.03,-0.07
1.04,-0.07
1.05,-0.08
1.06,-0.09
1.07,-0.1
1.08,-0.11
1.09,-0.12
1.1,-0.13
1.11,-0.13
1.12,-0.14
1.13,-0.15
1.14,-0.16
1.15,-0.17
1.16,-0.18
1.17,-0.18
1.18,-0.19
1.19,-0.2
1.2,-0.21
1.21,-0.22
1.22,-0.22
1.23,-0.23
1.24,-0.24
1.25,-0.25
1.26,-0.26
1.27,-0.26
1.28,-0.27
1.29,-0.28
1.3,-0.29
1.31,-0.3
1.32,-0.3
1.33,-0.31
1.34,-0.32
1.35,-0.33
1.36,-0.33
1.37,-0.34
1.38,-0.35
1.39,-0.36
1.4,-0.36
1.41,-0.37
1.42,-0.38
1.43,-0.39
1.44,-0.39
1.45,-0.4
1.46,-0.41
1.47,-0.42
1.48,-0.42
1.49,-0.43
1.5,-0.44
1.51,-0.45
1.52,-0.45
1.53,-0.46
1.54,-0.47
1.55,-0.47
1.56,-0.48
1.57,-0.49
1.58,-0.5
1.59,-0.5
1.6,-0.51
1.61,-0.52
1.62,-0.52
1.63,-0.53
1.64,-0.54
1.65,-0.55
1.66,-0.55
1.67,-0.56
1.68,-0.57
1.69,-0.57
1.7,-0.58
1.71,-0.59
1.72,-0.59
1.73,-0.6
1.74,-0.61
1.75,-0.61
1.76,-0.62
1.77,-0.63
1.78,-0.63
1.79,-0.64
1.8,-0.65
1.81,-0.65
1.82,-0.66
1.83,-0.66
1.84,-0.67
1.85,-0.68
1.86,-0.68
1.87,-0.69
1.88,-0.7
1.89,-0.7
1.9,-0.71
1.91,-0.71
1.92,-0.72
1.93,-0.73
1.94,-0.73
1.95,-0.74
1.96,-0.75
1.97,-0.75
1.98,-0.76
1.99,-0.76
